index,Concept Name,Concpet Description,Human Label,Machine Label
1,cav city tours,a service for tourists to see attractive spots personalized tourist service where you select the places you want to see  stop,use cases,riders;tourists
2,innovation tire,the tire itself can detect the temp and lanscape by attathced a sensor on the surface,interior design ,battery;pickup
3,driver outsourcing,iutsourc remote driving to cheaper labor countries like india,transition to av,
4,completely autonomous driving,to increase the driving efficiencey and greatly reduce or completely eliminate accidents,transition to automated vehicles,accidents;hours
5,solar cars,solar powered cars that run during the day,basic concept,cars;vehicles
6,transit: find the cars near you,an application that can help people detect and find the available connected cars,basic concept,cars;vehicles
7,comfy seats,soft and comforabtle reclining seating with massage chair ,interior design ,
8,emergency button for cars,system to shut down all the program can connect you to hospitals,safety & health,cars;vehicles
9,school self driving bus,provide automated school buses for kids in a neighborhood avoid the congestion for dropoff and pickup time at schools,kids,battery;pickup
10,grocery store at home,saving time after work to directly go cook dinner at your home thanks a digital grocery store delivering the ingredients you need at your place during low hours on the road ,use cases,grocery;haircut
11,haircut,get a haircutby a robot or use the services of a barber on your way to work,use cases,grocery;haircut
12,redefine car shape,redifine the car shape by focusing on the function,new vehicle shapes/forms,car;seats
13,modular interior design,the interior allows flexibility of uses to meet the expectations of a variety of users includes trap on the floor to open a table moveable chairs option to open or cover windows coffeetea box kids bo,use cases,
14,moving silent disco,set up cav vans at music festivals to transport festival goers reconfigure the inside space as a silent disco ,use cases,
15,traffic jam assist,driving assist feature to drive the car in intense traffic situation to relieve the mental stress of the driver,transition to automated vehicles,car;seats
16,karaoke car,have an onboard karaoke system,use cases,car;cars
17,planetarium,have the roof of the car completely transparent on clear starry nights for a mesmerizing experience,use cases,car;cars
18,the purpose instead of the address   reducting miles travelled,when a zone is congested the cav asks what the rider wants to do in order to suggest the most relevant places nearby to drive him to,optimizing efficiency,cav;lanes
19,what do you do during the ride?,now that there is more space for people in the vehicle and no need to focus on traffic what should you do examples sleep eat breakfast meditate read the newspaper,interior design ,vehicle;ride
20,cav fleet,a fleet of cavs that users pay to have ondemand access to,basic concept,cav;benefits
21,frequent rider benefit program ,airlines have frequent flier programs and benefits we can apply this model to cav ridesharing,basic concept,cav;benefits
22,v2i communication,vehicle to infrastructure communication to get info each othermaintenanceupdating city info,infrastructure planning,vehicle;ride
23,flat intracity escalators,cross city that moving escalators taking people to places based on choice of activity,infrastructure planning,
24,cav   ridesharing fusion,incorporate cav into uber lyft and other similar platforms this will bring cavs online and kickstart mainstream usage,basic concept,cav;vans
25,storage seats,seats can be made outline materials and small items within them,interior design ,seats;seat
26,customized seat accesories,tables desks arm rests etc that can be hiddenremoved and taken out when needed for uee,interior design ,seats;seat
27,rotating chairs,car seats that can rotate to different orientations to let everyone get their cockpit feeling,use cases,car;seats
28,attachable disco rvs,drive into a disco rv dealership and drive out with a disco rv attached to your car for your own private party experience,use cases,car;seats
29,adaptive capacity and group dropoffs,workers should be distributed throught the city in a timely manner cars will have the same speed and self driving vansbuses will increase the load during peak hours no individually dropoffs because that lowers efficiency,commute / peak management,accidents;hours
30,g road ,people can exploit the gforce to accelerate the car speed and save your time travelling from a to b point,infrastructure planning,car;time
31,g roads,exploit the gforce to accelerate the car coriolis and saving your time travel from a to b,infrastructure planning,car;time
32,board game selections,board games proposed in auomated school vans or regular cav,kids,cav;vans
33,fat cars,match width of car to the roads to maximize space effi,infrastructure planning,car;cars
34,car storage system on the street,people cab park their personal belongings inside the storage cars to eliminate the unnessary things in their house,infrastructure planning,car;cars
35,car storage system on the street,people can park their personal belongings inside the storage cars to eliminate storage rooms from their house free house space,infrastructure planning,car;cars
36,tv re arrangement,ppl can lay down inside the car and watch tv in forint of them,interior design ,car;ride
37,music car,learn and play instruments like guitar hero,use cases,car;ride
38,the linkedin car,using ride shares to network professionally,use cases,car;ride
39,the escape car,do an escape game using vr during a ride,use cases,car;ride
40,workout car,workout during your ride,use cases,car;ride
41,overhead bus,buses that travel straight in ew or ns directions in cities and have clearance for the cars below to reduce traffic,new vehicle shapes/forms,cars;vehicles
42,detachable cars,different number of carscabins can be attached to the engine depending on the number of people travelling,new vehicle shapes/forms,cars;vehicles
43,tentacle cars,cars with contraptions to lift them above traffic below them and help them move quickly in case of emergencies,new vehicle shapes/forms,cars;vehicles
44,flexible cars,cars that are fexiblemalleable for taking impact,new vehicle shapes/forms,cars;vehicles
45,handicaped centered design,the car is specifically designed to address the specific needs of handicapes includes sliding doors platform to get on the car same than buses more space inside,safety & health,car;cars
46,social ride,music matching and exchange between riders,interior design ,ride;riders
